Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDS60,OUT027,4288.311271999999
NCO06,OUT017,527.3668640000001
FDO16,OUT035,1591.4151340000005
FDC60,OUT049,1319.722128
FDA48,OUT018,3841.9789260000016
FDZ36,OUT027,4206.484452
FDK27,OUT045,1855.5646259999992
FDW23,OUT018,559.9111680000001
FDM14,OUT018,1364.8833420000008
FDM14,OUT013,1883.9942859999999
FDW60,OUT018,2990.3141979999987
FDE21,OUT013,1586.341737999999
NCM42,OUT035,1656.7767199999998
FDY59,OUT010,179.42644200000007
DRI49,OUT049,1324.6357319999997
FDT28,OUT019,296.86690400000003
FDQ22,OUT018,627.28347
FDR60,OUT049,1207.8011480000002
FDC50,OUT019,294.75631799999996
FDV24,OUT013,2412.8791739999997
DRF48,OUT010,523.6716740000002
FDQ47,OUT046,747.9597199999998
DRN36,OUT049,1604.6312639999999
NCY06,OUT035,2004.9701459999994
FDE52,OUT035,1383.2793960000001
NCB54,OUT045,1856.243741999999
NCF31,OUT035,2340.0739440000007
FDJ08,OUT027,5246.091204000001
NCC07,OUT017,1906.1188200000006
NCD19,OUT027,1643.2343480000009
FDL46,OUT049,1954.5757439999998
FDM20,OUT045,3432.4053979999967
NCI06,OUT010,384.705898
DRM11,OUT035,4196.943537999998
NCH07,OUT018,2398.9506379999993
FDS23,OUT013,2029.2851620000008
FDO49,OUT018,628.4619359999999
FDS35,OUT049,920.5217639999998
DRK39,OUT045,1350.022686
DRI39,OUT049,945.4426579999998
FDV04,OUT017,2015.3766000000003
NCN14,OUT035,2562.744096
FDH08,OUT013,3988.068762000001
FDS20,OUT046,3016.3602939999996
FDV40,OUT049,1061.7978659999999
FDZ48,OUT010,189.77963200000013
FDS24,OUT027,2346.319148000001
FDK44,OUT049,2929.8062940000013
FDS48,OUT045,2308.46176
FDK26,OUT010,705.987688
FDD23,OUT045,3433.4640200000017
NCH54,OUT017,2497.0362940000014
NCP14,OUT010,190.53198599999988
FDM60,OUT010,109.40425600000002
FDV24,OUT017,2518.2686559999997
FDH08,OUT018,3291.355668
FDS12,OUT027,3623.7296860000006
FDR39,OUT027,4872.064737999997
FDP12,OUT027,1010.0984960000002
DRF60,OUT027,5404.791292000001
FDC09,OUT035,1764.0104679999997
FDF50,OUT018,3119.3196060000005
FDG28,OUT035,3786.2448079999963
NCE19,OUT017,899.069688
NCM53,OUT010,314.45068200000003
NCN18,OUT049,1483.9683299999995
FDF32,OUT035,3341.4171700000006
FDF11,OUT013,3555.764822000001
DRI59,OUT049,3836.765711999997
NCG54,OUT035,3027.432548000001
FDM44,OUT046,1549.3898380000007
FDT57,OUT018,2443.5858700000013
FDV24,OUT046,2521.204834000002
FDI50,OUT019,551.8483300000005
FDS09,OUT035,918.7174460000009
NCC31,OUT027,3780.831853999998
FDQ07,OUT019,441.98467200000016
FDC22,OUT017,3528.8798179999994
FDZ56,OUT046,2938.3285340000025
FDZ40,OUT019,160.75741000000005
FDS46,OUT027,2939.140809999999
DRD24,OUT045,1903.8950479999992
FDV45,OUT017,3103.1806139999976
FDL26,OUT045,2774.5483920000006
FDA56,OUT018,1510.8932820000005
FDN27,OUT046,1996.2281919999996
FDM20,OUT049,4306.700668000002
FDO16,OUT017,1575.489198
FDL03,OUT035,2986.8453799999993
FDE58,OUT046,2018.745548
FDI02,OUT027,3023.6308300000005
NCC55,OUT019,82.572516
FDR03,OUT018,3160.9920279999997
FDB14,OUT017,1603.4128499999995
FDR45,OUT013,4354.478476000001
NCN07,OUT017,2140.4471300000005
FDM51,OUT019,249.5018920000002
FDT52,OUT027,6184.150139999997
FDL26,OUT046,2092.3697119999993
NCZ42,OUT046,3687.1804259999963
DRI47,OUT019,392.6888400000002
FDW40,OUT013,2512.1432959999997
FDN34,OUT046,3205.0413559999997
FDS01,OUT035,3374.9801479999987
NCG55,OUT045,1660.3786980000002
FDC11,OUT035,1435.5247219999997
FDX35,OUT018,3100.856972000001
NCB06,OUT046,2481.7828160000004
FDR09,OUT019,487.6385780000005
FDC53,OUT017,1701.5384539999993
FDY45,OUT013,3591.3185420000027
FDA22,OUT010,420.772284
FDE02,OUT035,1647.502126
FDW21,OUT045,1769.0905219999993
FDV34,OUT046,1349.2104099999995
FDS59,OUT049,1919.8609319999987
NCW17,OUT017,2343.3163899999977
NCK54,OUT046,1892.9759280000019
FDG17,OUT019,532.047438
FDG35,OUT017,3869.5230720000045
FDD08,OUT010,114.18469999999992
NCO07,OUT017,4067.085906000001
FDJ10,OUT010,282.1993300000001
FDW36,OUT017,1851.5898000000009
FDW21,OUT010,245.28071999999986
FDY19,OUT017,1782.8060020000007
DRE03,OUT013,634.6339019999997
NCC55,OUT049,729.5370339999998
FDH52,OUT010,155.40437800000012
FDO09,OUT017,4178.933648000001
FDU43,OUT045,4201.737297999996
FDX09,OUT010,405.34569800000025
FDH40,OUT019,210.33287800000005
FDW58,OUT017,1871.5038780000002
FDC47,OUT017,4312.353310000001
NCR41,OUT035,1556.5471879999996
DRG49,OUT035,4903.929926000001
FDC52,OUT027,4406.477456000002
FDY13,OUT046,1194.0390619999996
FDY35,OUT013,768.7659699999999
FDI35,OUT017,4115.4496180000015
NCU18,OUT049,2781.7123999999994
FDY33,OUT018,2609.7762079999993
FDC15,OUT027,3764.1402480000015
FDU01,OUT049,3261.154979999999
NCU42,OUT046,3277.3672100000026
NCV29,OUT018,2307.5362980000004
NCY30,OUT017,2961.7380620000004
FDQ46,OUT049,1933.5431219999998
FDG58,OUT027,4207.116962
FDK33,OUT017,4214.221047999999
NCD07,OUT045,1541.1405760000007
NCX29,OUT027,3754.1998539999995
NCT42,OUT013,2459.0324299999997
DRN59,OUT035,685.8871859999994
FDI44,OUT035,1595.463198
FDA45,OUT049,2342.9568580000014
FDP31,OUT045,943.2188860000001
FDY01,OUT046,2037.2681039999993
FDT09,OUT018,1709.3283140000008
DRH03,OUT027,2318.4687340000005
FDA36,OUT018,2466.7224199999996
NCF31,OUT017,2286.1641180000006
FDG14,OUT049,2395.488478
FDG28,OUT027,6234.364775999995
FDU14,OUT049,4238.030056000002
FDY47,OUT019,280.3284320000001
FDI56,OUT049,1289.6812320000008
DRD01,OUT013,680.5607859999999
FDM22,OUT046,1178.9986400000003
FDH33,OUT013,618.634728
DRZ24,OUT013,1898.62857
NCQ38,OUT046,1549.0569379999997
FDO16,OUT027,2151.7923619999997
FDU07,OUT027,3878.2650259999996
NCB07,OUT013,2395.561715999998
FDU48,OUT045,1870.4385979999997
NCM43,OUT045,2898.007686
FDR31,OUT010,314.0844920000001
DRK49,OUT018,321.4948460000001
NCI30,OUT010,842.9826960000001
DRD60,OUT017,3034.017309999998
NCG19,OUT046,3483.485573999999
FDH12,OUT035,1612.933789999999
FDM32,OUT035,1457.3696200000004
FDM27,OUT035,2814.489733999999
NCU53,OUT027,4109.757027999997
NCQ18,OUT046,1658.6076699999999
FDS10,OUT013,2880.8433619999983
FDB33,OUT027,4742.173816000001
FDI12,OUT013,1249.7598639999999
NCW42,OUT013,3435.341576
NCC06,OUT018,2305.1061279999994
FDW02,OUT017,2282.488902
NCD43,OUT017,1714.9276920000007
FDM57,OUT018,952.6066660000006
FDA58,OUT017,3965.518116
FDK56,OUT046,3048.2787459999986
FDP52,OUT045,3568.8943980000013
FDW20,OUT018,1691.3250819999998
FDS52,OUT049,1729.5486600000002
NCT29,OUT018,1756.1007639999991
NCL54,OUT013,2932.602654000002
FDC05,OUT045,2703.0281560000003
FDF34,OUT035,3106.9756740000007
FDP03,OUT027,3138.787598
FDD32,OUT010,156.95569200000003
FDZ10,OUT045,2059.785459999999
FDZ40,OUT035,788.0142480000005
FDD51,OUT018,541.7481439999997
NCY30,OUT019,421.77764200000007
FDP58,OUT017,3831.0132000000012
FDV49,OUT017,3681.767471999999
FDY24,OUT019,185.11903199999998
NCO55,OUT017,1597.240884
FDR13,OUT017,2067.395554000001
FDS51,OUT017,1011.41678
FDP26,OUT045,1288.629268
NCB54,OUT027,3510.1109160000005
FDF32,OUT017,3455.2756280000003
FDN31,OUT018,2774.2487820000006
DRM48,OUT017,667.7974
FDN20,OUT049,2940.885206
DRL01,OUT046,3980.8714640000003
FDV56,OUT049,1515.8601500000004
DRH13,OUT027,2523.3819999999996
FDA03,OUT017,2563.756112
FDF47,OUT027,5741.140136000003
FDX32,OUT046,2381.886184
FDX57,OUT049,1923.0501139999997
NCA30,OUT045,2958.0428719999995
FDO49,OUT013,712.7721900000003
FDL04,OUT019,230.20700799999995
DRM48,OUT035,788.9197359999998
FDR16,OUT013,3030.868075999999
NCC19,OUT018,3392.1444719999995
NCE42,OUT045,2663.000260000003
FDY24,OUT017,1226.037409999999
FDH19,OUT049,3190.8931060000004
FDJ46,OUT013,2392.9384640000003
FDN45,OUT010,669.1356579999994
FDY08,OUT035,2154.7551719999997
FDZ37,OUT035,1495.633146
NCT30,OUT045,780.6504999999994
DRY23,OUT018,387.3757559999998
NCZ30,OUT018,1912.4106299999987
FDC44,OUT018,1347.7057020000002
FDB45,OUT035,1756.6200879999994
FDY04,OUT013,2420.2362640000006
FDM27,OUT046,2528.6285040000002
FDZ43,OUT017,4401.277557999998
FDT39,OUT019,314.34415399999983
NCC06,OUT019,287.77873400000004
FDL15,OUT027,4080.7148320000006
FDL57,OUT017,4449.554716000002
FDU08,OUT046,1619.585132
FDK40,OUT017,3533.5670500000024
FDQ12,OUT010,533.785176
FDS48,OUT017,2867.6671800000004
FDP09,OUT045,3682.652985999999
FDW21,OUT049,1531.8393500000009
FDY25,OUT035,3543.747131999998
DRE13,OUT017,1387.3341180000007
FDV43,OUT019,112.48025200000001
FDD22,OUT045,1726.9720140000002
FDM46,OUT019,267.09232799999995
NCO30,OUT010,581.9890960000004
FDM25,OUT046,2587.6783060000002
NCN41,OUT049,1976.8134640000007
FDU24,OUT045,1846.06366
FDZ50,OUT046,3010.115090000001
FDP45,OUT013,4345.47686
NCM54,OUT045,1755.1286959999995
FDW10,OUT019,423.6485400000001
FDP20,OUT017,1890.5657319999996
FDK32,OUT046,2496.5702340000003
FDN52,OUT049,1115.6744019999999
FDM58,OUT045,2341.9381839999996
FDZ46,OUT027,3563.9208720000006
NCA18,OUT018,1889.8999319999991
FDD35,OUT046,2109.0879499999996
NCK31,OUT035,667.6575820000002
FDI40,OUT027,2757.7236259999986
FDT50,OUT019,217.36372600000007
NCT06,OUT046,3014.3828679999992
FDT31,OUT035,3270.8090799999986
FDT45,OUT049,917.532322
FDT13,OUT045,3125.4449659999973
FDO50,OUT045,1397.3211180000005
NCU18,OUT010,283.237978
NCR54,OUT049,3180.9527120000007
NCO18,OUT018,2031.9749939999995
FDU09,OUT045,896.9724180000005
FDT13,OUT018,2295.538582000001
FDE09,OUT046,1603.119898
NCK53,OUT019,298.4115600000001
FDG45,OUT049,3718.419761999999
DRH15,OUT035,675.0879100000003
FDO21,OUT019,536.3884540000001
FDD14,OUT027,5369.364073999998
FDC09,OUT046,1530.8872560000007
FDH45,OUT027,1130.9345379999997
FDV32,OUT046,1173.3992619999997
FDG12,OUT035,2209.696987999999
FDS32,OUT013,2481.476547999999
NCL55,OUT018,3438.770446000001
DRE01,OUT035,4404.866220000003
DRE15,OUT049,1294.4084119999989
NCL42,OUT045,3688.4188139999987
FDP31,OUT013,1051.358122
FDN33,OUT018,1290.71988
FDZ59,OUT046,3064.6574260000016
FDE45,OUT010,426.9309340000002
FDJ07,OUT013,1704.7076619999993
FDQ45,OUT018,2479.3726200000006
FDM33,OUT027,4822.655719999998
FDO15,OUT010,172.355646
FDM46,OUT013,1510.6535940000008
FDR03,OUT045,3306.722331999999
FDY49,OUT018,1970.1221739999994
FDQ60,OUT045,1950.1548320000004
FDW10,OUT049,2280.9575620000005
FDO51,OUT049,778.5332560000002
FDJ40,OUT018,1294.827866
FDS20,OUT018,2566.9785840000004
FDU45,OUT013,2051.682674
FDV02,OUT035,2708.367872
FDN09,OUT046,3706.6217859999997
NCM55,OUT027,4606.623593999999
FDN23,OUT018,1771.3009780000002
FDY31,OUT010,343.15997800000014
FDW03,OUT010,260.0881119999999
FDD14,OUT046,2701.5101319999994
FDV23,OUT017,1732.105332
DRI03,OUT045,2843.3654800000018
FDN13,OUT035,1487.2374080000006
FDF45,OUT027,1939.395504
FDU46,OUT035,1633.8532259999995
FDB57,OUT049,3503.8856860000024
FDV12,OUT049,1837.2484680000002
FDQ58,OUT013,2516.0382259999997
NCA18,OUT017,2042.2283140000002
FDH52,OUT049,836.9039420000001
FDM24,OUT018,2183.6708660000004
NCP43,OUT027,4847.117212
NCO18,OUT019,373.04774
FDM32,OUT017,1811.235662
NCL07,OUT017,598.014902
FDK03,OUT013,4305.495569999997
FDP59,OUT017,1745.5944400000005
FDQ24,OUT049,3884.303831999999
FDQ16,OUT018,1200.450716
FDU44,OUT013,2328.4823660000015
FDH28,OUT010,105.07655599999994
FDV28,OUT019,105.84222600000003
FDM22,OUT045,889.6153280000003
FDR56,OUT046,2888.959463999999
FDV39,OUT049,3149.8798259999994
FDU37,OUT019,242.0981960000001
FDQ11,OUT010,746.887782
FDX02,OUT045,3765.4385580000003
NCS42,OUT018,1473.1357639999999
FDY57,OUT027,2585.341348000002
FDB21,OUT049,4088.8375920000003
FDE28,OUT017,3818.7757959999994
FDQ55,OUT017,2229.0451359999984
FDA48,OUT049,3622.3315059999995
FDZ19,OUT045,2343.842372000001
NCC43,OUT045,3679.9365219999972
NCV18,OUT046,1329.6625219999994
NCA42,OUT018,2770.8465439999986
FDY45,OUT046,3146.697302000001
NCC30,OUT045,3004.262708000001
FDM57,OUT013,1439.8257899999999
FDL09,OUT010,444.00870400000014
FDB09,OUT027,3949.7586300000007
FDT44,OUT035,1698.1761640000009
NCT06,OUT027,4516.054820000001
FDX26,OUT049,3683.63837
FDK32,OUT013,2316.7309960000007
DRA12,OUT046,1945.7339199999985
FDO46,OUT010,607.6423700000003
FDE52,OUT013,1328.1178660000003
NCH42,OUT045,3953.9265379999983
FDV08,OUT035,651.4253780000003
FDB47,OUT018,2825.209114
FDC28,OUT010,223.84861800000002
FDD22,OUT046,1735.1214060000007
FDS07,OUT027,3634.5689100000004
DRI13,OUT045,3543.8936080000008
FDG32,OUT018,3725.0444720000023
FDU14,OUT017,3617.138266000001
FDD28,OUT019,163.32074
NCP41,OUT017,1654.2000740000005
FDS08,OUT049,3115.41136
FDX47,OUT045,2446.8948960000007
FDC53,OUT019,185.72491000000014
FDQ19,OUT035,4560.643445999996
FDL14,OUT045,2479.379278000001
FDM33,OUT019,587.2089680000003
FDA51,OUT045,1813.4660919999994
FDZ27,OUT018,692.9446659999998
FDT04,OUT046,594.932248
DRC13,OUT049,1764.0970220000008
FDR16,OUT027,5164.777049999996
FDQ03,OUT027,6167.465191999999
FDE38,OUT035,2652.953338000002
DRH23,OUT027,1793.199140000001
FDT11,OUT019,732.0537580000001
FDD09,OUT035,2971.132499999999
FDR40,OUT045,1333.4575819999995
FDX07,OUT017,2859.191545999999
FDR07,OUT035,1799.4243699999995
FDA51,OUT017,1825.250752
FDT59,OUT019,739.4641120000001
FDF20,OUT017,3372.490055999999
FDR13,OUT045,1907.943111999999
FDY26,OUT049,3401.019585999997
FDW04,OUT017,2076.337248
FDK52,OUT017,4198.141978000001
FDN60,OUT049,2972.9634499999993
FDM09,OUT019,400.93144400000006
FDP46,OUT049,1490.5530920000006
FDB50,OUT019,247.85070800000003
NCQ29,OUT049,4173.534009999998
FDP16,OUT027,6442.893335999997
FDX33,OUT018,2200.8285319999986
FDP07,OUT010,528.2856679999998
FDN22,OUT046,3461.0747460000002
FDF39,OUT049,4251.252844000001
FDS21,OUT017,971.9082080000004
NCM42,OUT013,1702.257518
FDK50,OUT019,477.5117599999999
DRF13,OUT027,3562.569297999998
FDH35,OUT018,2040.1576759999998
FDP60,OUT018,1549.010332000001
DRJ49,OUT027,3033.1784019999996
NCT42,OUT019,345.9230479999999
FDE38,OUT049,2680.5906959999998
FDI04,OUT049,3139.100524
NCH54,OUT045,3201.898779999999
FDT56,OUT049,879.3686660000002
DRD15,OUT018,3306.9753359999995
FDV58,OUT013,2659.0054600000003
FDP21,OUT049,3524.964913999998
FDH05,OUT013,3457.1864739999996
FDR10,OUT027,4278.444116000001
NCP06,OUT045,2130.213783999998
FDF33,OUT049,1913.0165079999986
DRK37,OUT013,3395.400233999998
DRH49,OUT045,1217.9013339999992
FDT58,OUT013,2844.883504
FDD41,OUT018,1519.6685260000002
FDP40,OUT018,1815.0440380000002
FDM51,OUT027,2436.914553999999
FDO45,OUT010,196.0181780000001
FDW33,OUT010,265.807334
FDY24,OUT045,895.9936920000004
FDB10,OUT010,591.310296
FDM40,OUT035,2271.3966739999996
NCI06,OUT017,3479.244428000001
FDW12,OUT019,308.7780659999999
FDX48,OUT027,4377.521814
NCW05,OUT027,2896.549584
FDX27,OUT017,1580.3561959999993
DRM37,OUT045,3354.3070580000017
FDA38,OUT045,4056.7393740000007
FDR36,OUT046,704.6361139999999
FDZ45,OUT046,3212.8179000000005
FDG05,OUT017,2486.2902820000004
FDK28,OUT013,4978.705923999999
FDV47,OUT045,1170.5696119999996
FDN21,OUT045,2404.876258000001
FDP20,OUT027,3451.90668
FDI35,OUT045,3506.222644
DRY23,OUT013,641.2985600000004
FDA56,OUT017,2090.2724419999995
FDB09,OUT013,2020.4766279999994
NCO26,OUT027,3592.5569300000006
FDQ49,OUT018,2692.754862
FDI52,OUT027,3534.3194040000003
FDZ44,OUT027,3347.609109999999
FDZ09,OUT018,2430.3098179999997
FDY03,OUT049,2189.6497499999996
NCG42,OUT017,2272.8214859999994
DRI13,OUT027,5943.516704
FDQ32,OUT013,2185.9079539999993
FDW16,OUT035,1312.6380159999999
FDU27,OUT046,857.2707640000002
FDR28,OUT010,393.4744840000001
FDQ49,OUT010,454.01567800000004
FDS37,OUT046,1932.431236
FDW26,OUT018,3228.89697
FDX12,OUT018,3443.7173399999983
NCP06,OUT013,2619.310464
FDW45,OUT010,343.5528000000003
NCN30,OUT049,1495.2802720000002
FDN24,OUT049,913.5574959999993
NCL41,OUT027,1081.918342000001
FDR02,OUT019,282.29920000000004
FDD09,OUT010,505.515308
FDS33,OUT010,189.51997000000006
FDU22,OUT045,1515.940046
FDI53,OUT013,2464.5319380000005
DRH01,OUT049,3029.057099999999
FDX32,OUT013,2487.9614400000005
NCP30,OUT018,479.8354020000006
FDB60,OUT045,2841.587794
FDB14,OUT049,1485.2000600000006
NCP02,OUT035,870.8197940000005
FDJ10,OUT017,2123.0963820000006
FDG34,OUT046,1801.9810419999994
NCB18,OUT017,1492.6703360000001
FDM16,OUT049,1150.382556
FDW25,OUT018,1415.430878
FDB35,OUT010,169.77899999999997
DRN11,OUT013,2203.778026000001
FDF41,OUT019,609.4067400000002
FDH16,OUT045,1239.4133319999999
NCQ50,OUT018,2615.482114
DRH23,OUT018,718.5380179999999
DRJ37,OUT013,2143.662943999999
DRJ24,OUT027,5019.752494000001
FDY16,OUT035,3016.8529859999994
FDQ27,OUT045,1866.8033299999986
FDZ33,OUT045,2381.7397080000014
FDF29,OUT045,2351.698812000002
FDA08,OUT049,2916.457004000001
FDG31,OUT046,1169.9104699999996
FDE34,OUT019,471.75924800000007
NCR30,OUT027,2122.696902000002
FDV33,OUT035,4232.736946000003
DRZ24,OUT018,1535.5478559999997
NCL54,OUT035,3041.207950000001
FDR12,OUT049,3372.04397
NCC54,OUT046,4866.571888
DRN59,OUT013,727.479712
FDX50,OUT019,234.8476339999999
FDV31,OUT027,4615.298968000002
NCA29,OUT027,5050.192870000002
FDW60,OUT049,3195.2807279999997
FDX08,OUT017,3175.8260519999994
DRD49,OUT013,3950.3778239999997
FDD33,OUT046,3700.9558280000033
FDW35,OUT013,755.0771220000003
FDJ36,OUT017,1728.1171900000004
FDV51,OUT035,3207.884321999998
FDW36,OUT046,1737.4117580000006
FDH35,OUT046,2860.310089999999
NCS30,OUT027,3025.4817539999995
FDN49,OUT017,666.0796359999997
FDL08,OUT018,3125.631389999999
FDI09,OUT013,4211.464636000001
FDP19,OUT018,1577.160356
FDU21,OUT010,92.30651200000004
NCP41,OUT045,1627.974212
FDY10,OUT013,1797.9929000000009
FDP12,OUT018,600.9643960000005
NCN26,OUT049,2281.3503840000008
FDK44,OUT013,3510.4571320000014
FDC28,OUT049,1826.302715999999
FDJ41,OUT027,6534.034698000004
NCT29,OUT035,1792.240387999999
NCH42,OUT019,531.887646
FDU60,OUT018,2154.056082
FDS02,OUT045,3118.5605939999973
FDC51,OUT046,2274.066531999999
FDU03,OUT013,3435.6545019999994
FDX39,OUT045,3750.0452619999983
NCY05,OUT010,114.14475199999995
NCL06,OUT027,5926.805123999994
FDD32,OUT035,1319.102933999999
NCN41,OUT045,1876.1977680000005
NCX53,OUT049,2490.438216000001
FDU57,OUT019,283.717354
FDQ23,OUT046,1793.738438
FDQ52,OUT045,4875.713321999999
FDC14,OUT045,638.9216539999998
FDY09,OUT035,3671.9069739999995
FDQ28,OUT045,2758.635772
FDV25,OUT046,3811.964662000001
FDJ07,OUT035,1981.7603580000005
DRB25,OUT049,1593.332638
FDK52,OUT019,711.0411100000006
FDY52,OUT027,1664.9727180000004
FDB28,OUT046,3338.5342559999976
FDT36,OUT035,686.6994619999998
FDV25,OUT017,3818.9156140000014
NCN07,OUT027,3205.2610700000014
FDC57,OUT017,3573.3818900000006
FDQ03,OUT018,3036.926856
FDU23,OUT017,3102.9142939999992
NCX41,OUT035,3869.7094959999986
NCD06,OUT035,719.6965099999993
FDW08,OUT045,1528.130844
NCU29,OUT017,2267.6016139999992
NCE06,OUT013,2378.916716000001
FDV52,OUT010,275.0220060000001
FDB02,OUT017,2751.4717640000003
NCR18,OUT045,662.0981519999996
FDK16,OUT049,1426.603002
NCQ29,OUT010,598.7938879999997
FDZ01,OUT019,254.31562599999987
FDW27,OUT035,2549.634494000001
FDD17,OUT018,3398.1499880000006
FDW39,OUT013,3105.8571299999994
DRH59,OUT045,1077.9035680000004
FDS52,OUT013,1372.0939560000004
FDU40,OUT027,5974.023660000001
NCF54,OUT013,2598.2112620000007
FDH46,OUT045,1869.49982
NCP14,OUT049,1611.3758180000002
FDH50,OUT049,3194.9411699999996
DRF15,OUT010,313.44532400000026
FDV27,OUT027,2607.459224000001
NCJ06,OUT049,2197.5860860000003
FDN02,OUT018,3230.614734
FDQ51,OUT049,924.1104259999998
FDQ07,OUT017,4627.662874000001
FDS45,OUT049,1707.3841780000005
NCJ06,OUT045,1745.6210719999988
FDD36,OUT035,2137.45103
FDY25,OUT045,2980.293908
FDU52,OUT046,2392.545642000001
DRK47,OUT017,3696.3018860000006
NCL30,OUT017,2141.891915999999
FDN22,OUT035,3728.1337840000006
NCF30,OUT027,3394.5480100000004
FDK03,OUT035,4278.890202
FDT45,OUT017,900.9472440000001
NCC54,OUT027,5752.7982939999965
FDP08,OUT018,2897.5882320000023
FDU44,OUT046,2752.5836500000005
DRG39,OUT035,805.1519400000001
FDU32,OUT049,2087.7290860000007
FDY27,OUT049,3095.8568139999993
NCP54,OUT013,1873.9806539999997
NCZ41,OUT049,2384.649253999999
DRL49,OUT013,2545.4066640000005
FDI05,OUT018,1142.3330339999995
FDY56,OUT045,4691.75944
DRC13,OUT013,1901.8310679999993
NCV29,OUT017,2793.5636399999994
FDR24,OUT049,1062.8831199999997
FDZ34,OUT018,2631.494604000001
FDP37,OUT035,2039.831434000001
